Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],Count of iterations
OF1,32,CauchyDensity,01-02,381679867030,94,12175
OF1,32,CauchyDensity,01-03,639702236564,109,13066
OF1,32,CauchyDensity,01-04,412850049504,103,11633
OF1,32,CauchyDensity,01-05,1271790354042,94,13741
OF1,32,CauchyDensity,01-06,1206058384559,99,14778
OF1,32,CauchyDensity,01-07,706329620657,129,14367
OF1,32,CauchyDensity,01-08,641720516058,107,12752
OF1,32,CauchyDensity,01-09,511406435076,120,17092
OF1,32,CauchyDensity,01-10,1197930636345,103,14280
OF1,32,CauchyDensity,02-04,309433909655,129,12575
OF1,32,CauchyDensity,02-05,1203032347565,114,18309
OF1,32,CauchyDensity,02-06,1042676257653,103,13587
OF1,32,CauchyDensity,02-08,451423419694,127,13218
OF1,32,CauchyDensity,02-09,483000578762,125,16093
OF1,32,CauchyDensity,02-10,1038938059457,101,13553
OF1,32,CauchyDensity,03-02,452634693879,152,23719
OF1,32,CauchyDensity,03-04,328246246739,88,14256
OF1,32,CauchyDensity,03-05,803096837341,108,17601
OF1,32,CauchyDensity,03-06,635701121734,90,12833
OF1,32,CauchyDensity,03-08,308497055611,218,19493
OF1,32,CauchyDensity,03-09,582494958613,95,14372
OF1,32,CauchyDensity,03-10,607140440510,82,11390
OF1,32,CauchyDensity,04-05,1032041278880,112,18359
OF1,32,CauchyDensity,04-08,239521392338,88,9767
OF1,32,CauchyDensity,04-10,853718773723,86,12387
OF1,32,CauchyDensity,05-08,928351022318,106,17886
OF1,32,CauchyDensity,05-10,494335021350,85,10798
OF1,32,CauchyDensity,06-04,843671575076,108,16258
OF1,32,CauchyDensity,06-05,565155989066,90,13848
OF1,32,CauchyDensity,06-08,688158476474,93,14222
OF1,32,CauchyDensity,06-09,1000570542292,106,14059
OF1,32,CauchyDensity,06-10,134046572578,100,11770
OF1,32,CauchyDensity,07-02,485845054919,152,24008
OF1,32,CauchyDensity,07-03,347283576620,211,20296
OF1,32,CauchyDensity,07-04,321205042830,120,16537
OF1,32,CauchyDensity,07-05,1051148073343,104,17994
OF1,32,CauchyDensity,07-06,708313166987,100,14889
OF1,32,CauchyDensity,07-08,212809387695,76,11084
OF1,32,CauchyDensity,07-09,573579778037,80,9867
OF1,32,CauchyDensity,07-10,735728700392,96,14511
OF1,32,CauchyDensity,09-04,350622260473,96,12836
OF1,32,CauchyDensity,09-05,1045957382508,96,14441
OF1,32,CauchyDensity,09-08,399633752839,73,9002
OF1,32,CauchyDensity,09-10,999881548592,89,12939
OF1,32,CauchyDensity,10-08,708566281189,94,14710
OF1,32,ClassicImages,01-02,206116560402,86,11754
OF1,32,ClassicImages,01-03,230366264212,97,12678
OF1,32,ClassicImages,01-04,169474198532,81,10579
OF1,32,ClassicImages,01-05,195237855155,134,15163
OF1,32,ClassicImages,01-06,290990535908,87,12196
OF1,32,ClassicImages,01-07,232298183133,123,14111
OF1,32,ClassicImages,01-08,185575555991,95,11360
OF1,32,ClassicImages,01-09,341587129047,105,15306
OF1,32,ClassicImages,01-10,289184470976,90,11601
OF1,32,ClassicImages,02-04,88423074494,113,14533
OF1,32,ClassicImages,02-05,89449778556,92,13708
OF1,32,ClassicImages,02-06,104244812348,84,11027
OF1,32,ClassicImages,02-08,116958936846,130,15667
OF1,32,ClassicImages,02-09,254025703605,100,15262
OF1,32,ClassicImages,02-10,171012230834,120,11941
OF1,32,ClassicImages,03-02,160003215762,94,12371
OF1,32,ClassicImages,03-04,132396478107,89,12207
OF1,32,ClassicImages,03-05,149000530812,99,13507
OF1,32,ClassicImages,03-06,182241645629,91,10907
OF1,32,ClassicImages,03-08,161255543724,115,12315
OF1,32,ClassicImages,03-09,300822382196,101,15250
OF1,32,ClassicImages,03-10,250508839999,84,11860
OF1,32,ClassicImages,04-05,107862844914,131,15462
OF1,32,ClassicImages,04-08,110764385234,89,10290
OF1,32,ClassicImages,04-10,222790714046,94,11936
OF1,32,ClassicImages,05-08,140371648499,90,11577
OF1,32,ClassicImages,05-10,216794329022,113,11866
OF1,32,ClassicImages,06-04,161621530642,136,14942
OF1,32,ClassicImages,06-05,137062082674,86,11481
OF1,32,ClassicImages,06-08,156244037026,128,16226
OF1,32,ClassicImages,06-09,252213743001,91,13362
OF1,32,ClassicImages,06-10,169177440084,87,11605
OF1,32,ClassicImages,07-02,101986524106,94,11171
OF1,32,ClassicImages,07-03,194550788968,98,12377
OF1,32,ClassicImages,07-04,150976816021,140,15637
OF1,32,ClassicImages,07-05,103685398596,122,13189
OF1,32,ClassicImages,07-06,131670452996,82,9888
OF1,32,ClassicImages,07-08,148273858023,116,14185
OF1,32,ClassicImages,07-09,228608020255,94,14226
OF1,32,ClassicImages,07-10,186868192027,126,14103
OF1,32,ClassicImages,09-04,287373769741,94,13672
OF1,32,ClassicImages,09-05,238306777814,93,13318
OF1,32,ClassicImages,09-08,334539956114,89,12501
OF1,32,ClassicImages,09-10,368774950421,94,13387
OF1,32,ClassicImages,10-08,188604254271,155,16029
OF1,32,GRFmoderate,01-02,171884032934,112,14161
OF1,32,GRFmoderate,01-03,254137269163,91,13319
OF1,32,GRFmoderate,01-04,397444272381,90,13020
OF1,32,GRFmoderate,01-05,208898838580,88,12464
OF1,32,GRFmoderate,01-06,300044891664,91,12042
OF1,32,GRFmoderate,01-07,155551740055,103,11785
OF1,32,GRFmoderate,01-08,316529636955,97,13568
OF1,32,GRFmoderate,01-09,134174011948,93,12437
OF1,32,GRFmoderate,01-10,107233896920,133,15681
OF1,32,GRFmoderate,02-04,325981113421,93,13968
OF1,32,GRFmoderate,02-05,150638691845,107,14737
