Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,CauchyDensity,01-02,381679867030,186,0,18374,238
OF1,32,CauchyDensity,01-03,639702236564,179,0,19357,210
OF1,32,CauchyDensity,01-04,412850049504,178,0,19015,250
OF1,32,CauchyDensity,01-05,1271790354042,109,0,13493,105
OF1,32,CauchyDensity,01-06,1206058384559,218,0,21821,294
OF1,32,CauchyDensity,01-07,706329620657,216,0,19297,340
OF1,32,CauchyDensity,01-08,641720516058,195,0,19335,296
OF1,32,CauchyDensity,01-09,511406435076,179,0,17812,263
OF1,32,CauchyDensity,01-10,1197930636345,193,0,21056,250
OF1,32,CauchyDensity,02-04,309433909655,205,0,17935,317
OF1,32,CauchyDensity,02-05,1203032347565,69,0,5921,61
OF1,32,CauchyDensity,02-06,1042676257653,166,0,16903,201
OF1,32,CauchyDensity,02-08,451423419694,255,0,20043,426
OF1,32,CauchyDensity,02-09,483000578762,279,0,22349,538
OF1,32,CauchyDensity,02-10,1038938059457,172,0,16808,182
OF1,32,CauchyDensity,03-02,452634693879,138,0,15174,147
OF1,32,CauchyDensity,03-04,328246246739,230,0,19490,321
OF1,32,CauchyDensity,03-05,803096837341,142,0,13758,134
OF1,32,CauchyDensity,03-06,635701121734,236,0,18893,336
OF1,32,CauchyDensity,03-08,308497055611,248,0,20544,345
OF1,32,CauchyDensity,03-09,582494958613,245,0,21029,342
OF1,32,CauchyDensity,03-10,607140440510,176,0,17752,189
OF1,32,CauchyDensity,04-05,1032041278880,88,0,7414,76
OF1,32,CauchyDensity,04-08,239521392338,243,0,19405,327
OF1,32,CauchyDensity,04-10,853718773723,180,0,18874,190
OF1,32,CauchyDensity,05-08,928351022318,163,0,15274,155
OF1,32,CauchyDensity,05-10,494335021350,232,0,21708,283
OF1,32,CauchyDensity,06-04,843671575076,195,0,20102,211
OF1,32,CauchyDensity,06-05,565155989066,242,0,22581,289
OF1,32,CauchyDensity,06-08,688158476474,193,0,20089,204
OF1,32,CauchyDensity,06-09,1000570542292,238,0,20765,321
OF1,32,CauchyDensity,06-10,134046572578,219,0,21959,308
OF1,32,CauchyDensity,07-02,485845054919,300,0,23726,600
OF1,32,CauchyDensity,07-03,347283576620,209,0,18089,315
OF1,32,CauchyDensity,07-04,321205042830,193,0,20713,240
OF1,32,CauchyDensity,07-05,1051148073343,159,0,14592,159
OF1,32,CauchyDensity,07-06,708313166987,178,0,17381,173
OF1,32,CauchyDensity,07-08,212809387695,204,0,20822,228
OF1,32,CauchyDensity,07-09,573579778037,163,0,19112,193
OF1,32,CauchyDensity,07-10,735728700392,176,0,16852,151
OF1,32,CauchyDensity,09-04,350622260473,194,0,19612,277
OF1,32,CauchyDensity,09-05,1045957382508,173,0,16851,166
OF1,32,CauchyDensity,09-08,399633752839,184,0,20002,220
OF1,32,CauchyDensity,09-10,999881548592,231,0,21466,283
OF1,32,CauchyDensity,10-08,708566281189,193,0,19170,199
OF1,32,ClassicImages,01-02,206116560402,248,0,22785,414
OF1,32,ClassicImages,01-03,230366264212,239,0,20139,351
OF1,32,ClassicImages,01-04,169474198532,222,0,20326,296
OF1,32,ClassicImages,01-05,195237855155,258,0,22299,391
OF1,32,ClassicImages,01-06,290990535908,248,0,23097,421
OF1,32,ClassicImages,01-07,232298183133,237,0,21209,275
OF1,32,ClassicImages,01-08,185575555991,255,0,23215,429
OF1,32,ClassicImages,01-09,341587129047,212,0,20730,227
OF1,32,ClassicImages,01-10,289184470976,306,0,25723,437
OF1,32,ClassicImages,02-04,88423074494,188,0,18953,197
OF1,32,ClassicImages,02-05,89449778556,239,0,21550,286
OF1,32,ClassicImages,02-06,104244812348,183,0,20033,212
OF1,32,ClassicImages,02-08,116958936846,218,0,19011,259
OF1,32,ClassicImages,02-09,254025703605,188,0,20410,191
OF1,32,ClassicImages,02-10,171012230834,233,0,20625,298
OF1,32,ClassicImages,03-02,160003215762,298,0,22349,462
OF1,32,ClassicImages,03-04,132396478107,223,0,19634,304
OF1,32,ClassicImages,03-05,149000530812,289,0,19698,502
OF1,32,ClassicImages,03-06,182241645629,194,0,18692,195
OF1,32,ClassicImages,03-08,161255543724,191,0,17695,177
OF1,32,ClassicImages,03-09,300822382196,194,0,18459,209
OF1,32,ClassicImages,03-10,250508839999,223,0,20493,276
