Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],IIO time [ms],Matryoshka time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,CauchyDensity,01-02,381679867030,113,101,12,7412,148
OF1,32,CauchyDensity,01-03,639702236564,125,112,13,8230,190
OF1,32,CauchyDensity,01-04,412850049504,174,161,13,10302,349
OF1,32,CauchyDensity,01-05,1271790354042,67,58,9,6367,66
OF1,32,CauchyDensity,01-06,1206058384559,128,113,15,8515,193
OF1,32,CauchyDensity,01-07,706329620657,144,129,15,9178,225
OF1,32,CauchyDensity,01-08,641720516058,195,174,21,10236,280
OF1,32,CauchyDensity,01-09,511406435076,166,154,12,9737,363
OF1,32,CauchyDensity,01-10,1197930636345,107,92,15,8021,146
OF1,32,CauchyDensity,02-04,309433909655,142,128,14,7546,146
OF1,32,CauchyDensity,02-05,1203032347565,79,74,5,7904,53
OF1,32,CauchyDensity,02-06,1042676257653,213,191,22,7057,118
OF1,32,CauchyDensity,02-08,451423419694,150,134,16,7889,164
OF1,32,CauchyDensity,02-09,483000578762,163,145,18,7758,212
OF1,32,CauchyDensity,02-10,1038938059457,117,101,16,6812,107
OF1,32,CauchyDensity,03-02,452634693879,78,68,10,6901,91
OF1,32,CauchyDensity,03-04,328246246739,142,127,15,7304,138
OF1,32,CauchyDensity,03-05,803096837341,96,87,9,6101,84
OF1,32,CauchyDensity,03-06,635701121734,132,116,16,7512,201
OF1,32,CauchyDensity,03-08,308497055611,178,162,16,7656,260
OF1,32,CauchyDensity,03-09,582494958613,138,122,16,8633,184
OF1,32,CauchyDensity,03-10,607140440510,107,94,13,7253,111
OF1,32,CauchyDensity,04-05,1032041278880,85,80,5,7210,56
OF1,32,CauchyDensity,04-08,239521392338,183,164,19,7577,221
OF1,32,CauchyDensity,04-10,853718773723,131,113,18,7638,127
OF1,32,CauchyDensity,05-08,928351022318,107,93,14,7617,85
OF1,32,CauchyDensity,05-10,494335021350,160,137,23,8417,184
OF1,32,CauchyDensity,06-04,843671575076,120,100,20,7410,112
OF1,32,CauchyDensity,06-05,565155989066,151,126,25,7853,166
OF1,32,CauchyDensity,06-08,688158476474,182,163,19,7811,128
OF1,32,CauchyDensity,06-09,1000570542292,179,156,23,8788,218
OF1,32,CauchyDensity,06-10,134046572578,123,103,20,7085,143
OF1,32,CauchyDensity,07-02,485845054919,156,140,16,8436,223
OF1,32,CauchyDensity,07-03,347283576620,122,96,26,6910,116
OF1,32,CauchyDensity,07-04,321205042830,123,108,15,8336,209
OF1,32,CauchyDensity,07-05,1051148073343,149,130,19,6727,101
OF1,32,CauchyDensity,07-06,708313166987,112,99,13,7529,111
