Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;CauchyDensity;01-05;3004554612145029;124183164;121625687;2557477;5550219;119958
OF1;512;CauchyDensity;01-06;2312225817189561;222378070;218818307;3559763;5191462;108316
OF1;512;CauchyDensity;01-07;3487498343699597;62526191;59477989;3048202;6944957;54576
OF1;512;CauchyDensity;01-09;2265406347539318;120319440;112456954;7862486;5349397;63069
OF1;512;CauchyDensity;02-01;5626035400718988;91432277;89080620;2351657;7623038;39347
OF1;512;CauchyDensity;02-05;3336599616819722;83313850;80450260;2863590;7461670;45430
OF1;512;CauchyDensity;02-06;5053148306822338;103563360;100778875;2784485;7724696;50183
OF1;512;CauchyDensity;02-07;3056002576882063;101315559;98651812;2663747;6818398;41131
OF1;512;CauchyDensity;02-09;6044634283025127;98020844;95540465;2480379;8475025;50296
OF1;512;CauchyDensity;03-01;3222378063541007;61293875;59190260;2103615;6718178;104959
OF1;512;CauchyDensity;03-02;5509266536852053;197190354;193302169;3888185;9491532;108872
OF1;512;CauchyDensity;03-04;3298960379725266;132666503;129817885;2848618;8165827;88718
OF1;512;CauchyDensity;03-05;2421185524363720;99788543;97360562;2427981;7789988;52757
OF1;512;CauchyDensity;03-06;1839388633175993;58554929;57202199;1352730;6367061;45072
OF1;512;CauchyDensity;03-07;3696368811930090;93481382;90709999;2771383;8699189;64944
OF1;512;CauchyDensity;03-09;1772277841223204;60329805;58673619;1656186;7356672;47206
OF1;512;CauchyDensity;03-10;1390433369528509;49333192;47828018;1505174;6061296;77498
OF1;512;CauchyDensity;04-01;3786857090281540;78003564;74770877;3232687;6030648;66665
OF1;512;CauchyDensity;04-02;2431934776686076;89405973;87288969;2117004;8424048;56545
OF1;512;CauchyDensity;04-05;1920791742374980;153650040;150962910;2687130;5693189;47087
OF1;512;CauchyDensity;04-06;2988329771347122;147160450;142669191;4491259;6213296;64863
OF1;512;CauchyDensity;04-07;2288753400368200;106612331;104180734;2431597;7876425;73169
OF1;512;CauchyDensity;04-09;3883655085250558;110024525;106976678;3047847;6620553;49155
OF1;512;CauchyDensity;04-10;2736536018204883;91943780;88553521;3390259;5835661;42256
OF1;512;CauchyDensity;05-06;2145131547395106;115674718;112733192;2941526;5500361;79237
OF1;512;CauchyDensity;05-07;1848313799347649;45449989;43808560;1641429;5249895;50764
OF1;512;CauchyDensity;05-09;2734394899229420;109959638;106838893;3120745;6439004;49276
OF1;512;CauchyDensity;07-06;2763187833622501;73466156;71264731;2201425;8738889;46576
OF1;512;CauchyDensity;08-01;2249263539146353;126845916;118679654;8166262;6247393;118871
OF1;512;CauchyDensity;08-02;5953685340253617;102195630;99223875;2971755;8782970;56282
OF1;512;CauchyDensity;08-03;1870745519573236;87993196;85776023;2217173;7755378;66032
OF1;512;CauchyDensity;08-04;3888359291718898;111548618;107527884;4020734;5390953;57760
OF1;512;CauchyDensity;08-05;2710596725832250;104116402;100803548;3312854;5855135;63316
OF1;512;CauchyDensity;08-06;1114042272377173;73445153;71108192;2336961;4972982;36346
